NewLevel,/background.png,811,318
977,401,Floor,0.2,0
795,401,Floor,0.2,0
1340,401,Floor,0.2,0
1158,401,Floor,0.2,0
1493,401,Wall,0.5,0
1888,562,Floor,0.2,0
2616,394,Wall,0.5,180
1524,562,Floor,0.2,0
1527,523,3spikes,1.0,0
1605,523,3spikes,1.0,0
1683,523,3spikes,1.0,0
1761,523,3spikes,1.0,0
1838,523,3spikes,1.0,0
1706,562,Floor,0.2,0
2070,562,Floor,0.2,0
2252,562,Floor,0.2,0
2433,562,Floor,0.2,0
2539,523,3spikes,1.0,0
2461,523,3spikes,1.0,0
2384,523,3spikes,1.0,0
2306,523,3spikes,1.0,0
2228,523,3spikes,1.0,0
2150,523,3spikes,1.0,0
2072,523,3spikes,1.0,0
1916,523,3spikes,1.0,0
1994,523,3spikes,1.0,0
1968,396,MovingPlatform,0.2,0,1523,2437,5,0,0,0
761,232,Wall,0.5,0
760,34,Wall,0.5,0
758,-166,Wall,0.5,0
3015,396,Floor,0.2,0
2835,396,Floor,0.2,0
2653,396,Floor,0.2,0
3379,396,Floor,0.2,0
3197,396,Floor,0.2,0
3140,248,Platform,0.2,0
2581,23,Platform,0.2,0
2250,20,Platform,0.2,0
3621,544,MovingPlatform,0.2,0,0,0,0,396,927,5
3439,928,Floor,0.2,0
3257,928,Floor,0.2,0
3542,890,3spikes,1.0,0
3468,892,3spikes,1.0,0
3065,786,Platform,0.2,0
2654,562,Platform,0.2,0
2714,516,Cog,0.5,0
2312,-25,Cog,0.5,0
2854,99,Platform,0.2,0
3643,457,Generator,2.0,0,2
2765,1042,MovingPlatform,0.2,0,2265,2965,5,0,0,0
2840,1004,1spikes,0.5,0
2846,686,Platform,0.2,0
3321,826,Checkpoint,0.5,0
2080,1047,Floor,0.2,0
1898,1047,Floor,0.2,0
1906,783,Floor,0.2,0
2209,783,Floor,0.2,0
2280,719,Coin,0.5,0
1688,920,Floor,0.2,0
1902,1008,1spikes,0.5,0
1292,1173,Floor,0.2,0
1358,1074,Checkpoint,0.5,0
1585,1025,3spikes,1.0,0
1485,1061,Floor,0.2,0
1104,999,Generator,2.0,0,2
1315,562,Floor,0.2,0
1293,936,Floor,0.2,0
1364,896,1spikes,0.5,0
992,817,Floor,0.2,0
1082,780,1spikes,0.5,0
1239,743,Floor,0.2,0
977,595,Floor,0.2,0
1390,509,Cog,0.5,0
2789,998,Cog,0.5,0
1090,1090,Floor,0.2,0
915,1090,Floor,0.2,0
734,1090,Floor,0.2,0
559,1090,Floor,0.2,0
3209,277,Cannon,0.2,180
1203,739,1spikes,0.5,270
556,965,Helicopter,0.1,0
