NewLevel,/background2.png,72,96
0,176,Platform,0.2,0
180,176,Platform,0.2,0
362,176,Platform,0.2,0
228,32,Platform,0.2,0
300,-13,Coin,0.5,0
398,-56,Platform,0.2,0
569,-56,Platform,0.2,0
529,-88,1spikes,0.5,0
606,-130,JumpBoost,0.5,0
251,-331,Platform,0.2,0
303,-378,Cog,0.5,0
768,-324,Platform,0.2,0
950,-324,Platform,0.2,0
835,-371,Coin,0.5,0
1132,-445,Platform,0.2,0
1334,-313,Platform,0.2,0
1623,-402,Platform,0.2,0
1640,-449,Coin,0.5,0
1891,-482,Platform,0.2,0
2611,-349,Platform,0.2,0
2676,-415,SpeedBoost,0.5,0
2792,-349,Platform,0.2,0
2943,-387,1spikes,0.5,0
2151,-335,Platform,0.2,0
2414,-434,Checkpoint,0.5,0
2334,-335,Platform,0.2,0
3244,-344,Platform,0.2,0
3247,-224,Platform,0.2,0
3207,-224,1spikes,0.5,270
3377,-260,1spikes,0.5,0
3382,-196,1spikes,0.5,180
3251,-47,Platform,0.2,0
3286,-94,Cog,0.5,0
3508,68,Platform,0.2,0
3582,-8,JumpBoost,0.5,0
3697,152,Platform,0.2,0
3934,238,Platform,0.2,0
4218,174,Platform,0.2,0
4399,174,Platform,0.2,0
4485,76,Checkpoint,0.5,0
4621,288,Platform,0.2,0
4840,168,Platform,0.2,0
5085,108,Platform,0.2,0
5139,74,3spikes,1.0,0
4697,241,Coin,0.5,0
4876,416,Platform,0.2,0
4639,540,Platform,0.2,0
4860,656,Platform,0.2,0
5139,753,Platform,0.2,0
5219,715,1spikes,0.5,0
5160,705,Coin,0.5,0
5273,705,Coin,0.5,0
5401,910,Platform,0.2,0
5421,587,Platform,0.2,0
5651,1037,Platform,0.2,0
5658,491,Platform,0.2,0
5997,981,Platform,0.2,0
5954,581,Platform,0.2,0
6242,905,Platform,0.2,0
6220,676,Platform,0.2,0
6525,804,Platform,0.2,0
6606,758,Coin,0.5,0
5732,790,Platform,0.2,0
5788,730,Cannon,0.2,0
7104,799,Platform,0.2,0
7287,799,Platform,0.2,0
7309,708,Generator,2.0,0,2
3767,-275,Coin,0.5,0
3697,-230,Platform,0.2,0
6811,814,Platform,0.2,0
6878,740,JumpBoost,0.5,0
6757,415,Coin,0.5,0
6688,455,Platform,0.2,0
6500,100,Helicopter,0.1,0
